dimension,cle,libelle,detail
BEN_RES_ZEAT,4,"Est (41,42,43)",
BEN_RES_ZEAT,5,"Ouest (52,53,54)",
BEN_RES_ZEAT,6,"Sud-Ouest (72,73,74)",
BEN_RES_ZEAT,7,"Centre-Est (82,83)",
BEN_RES_ZEAT,8,"Méditerrannée (91,93,94)",
BEN_RES_ZEAT,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
BEN_SEX_COD,0,INCONNU OU PERSONNE MORALE SANS CIVILITE,
BEN_SEX_COD,1,MASCULIN,
BEN_SEX_COD,2,FEMININ,
BEN_SEX_COD,9,VALEUR INCONNUE,
CPL_COD,0,SANS MAJORATION,
CPL_COD,1,MAJORATION DE NUIT,
CPL_COD,2,MAJORATION DE DIMANCHE ET JOUR FERIE,
CPL_COD,3,MAJORATION D URGENCE,
CPL_COD,9,VALEUR INCONNUE,
CPT_ENV_TYP,0,PRESTATIONS NON PRISE EN CHARGE PAR LE RG,
CPT_ENV_TYP,1,SOINS DE VILLE,
CPT_ENV_TYP,2,HOSPITALISATION ET MEDICO-SOCIALE ET CONSOMMATIONS INTERMEDIAIRES (MEDICAMENTS ET LPP),
CPT_ENV_TYP,3,PRESTATIONS LEGALES ASSURANCE MALADIE HORS ENV.ONDAM,
CPT_ENV_TYP,4,PREVENTION,
CPT_ENV_TYP,5,FNAS,
CPT_ENV_TYP,6,IVG (VALEUR SUPPRIMEE),
CPT_ENV_TYP,7,"C2S, AME ou ACS",
CPT_ENV_TYP,8,ALSACE MOSELLE,
CPT_ENV_TYP,9,VALEUR INCONNUE,
CPT_ENV_TYP,98,SANS OBJET,
DDP_SPE_COD,0,SANS OBJET,
DDP_SPE_COD,11,MEDECINE GENERALE - PEDIATRIE - URGENCE MEDICALE,
DDP_SPE_COD,12,SPECIALITES MEDICALES,
DDP_SPE_COD,13,REANIMATION ET SURVEILLANCE CONTINUE,
DDP_SPE_COD,14,DIALYSE,
DDP_SPE_COD,15,INSUFFISANCE RESPIRATOIRE,
DDP_SPE_COD,16,SCANNER ET IRMN,
DDP_SPE_COD,21,CHIRURGIE GENERALE INFANTILE ET URGENCE CHIRURGICALE,
DDP_SPE_COD,22,SPECIALITES CHIRURGICALES,
DDP_SPE_COD,23,REANIMATION ET SURVEILLANCE CONTINUE CHIRURGICALE ,
DDP_SPE_COD,30,GYNECOLOGIE OBSTETRIQUE IVG STERILITE,
DDP_SPE_COD,41,MALADIE A EVOLUTION PROLONGEE,
DDP_SPE_COD,42,CONVALESCENCE-REPOS-REGIME CURE MEDICALE (POUR PERSONNES AGEES NOTAMMENT),
DDP_SPE_COD,43,REEDUCATION FONCTIONNELLE READAPTATION,
DDP_SPE_COD,44,CURES THERMALES,
DDP_SPE_COD,45,POST-CURES (POUR ALCOOLIQUES),
DDP_SPE_COD,46,LUTTE CONTRE LA TUBERCULOSE ET LES MALADIES RESPIRATOIRES,
DDP_SPE_COD,47,CURES MEDICALES POUR ENFANTS ,
DDP_SPE_COD,48,CURES MEDICALES SPECIALISEES,
DDP_SPE_COD,50,LONG SEJOUR,
DDP_SPE_COD,60,LUTTE CONTRE LES MALADIES MENTALES - TOXICOMANIES,
DDP_SPE_COD,71,DISCIPLINE POUR AUTORISATION DE SUPPLEMENT,
DDP_SPE_COD,72,DISCIPLINE POUR AUTORISATION DE SUPPLEMENT,
DDP_SPE_COD,81,"EDUCATION SPECIALE ET PROFESSIONNELLE POUR DEFICIENTS MENTAUX, CARACTERIELS, POLYHANDICAPES ET AUTRES",
DDP_SPE_COD,82,EDUCATION SPECIALE POUR DEFICIENTS MOTEURS,
DDP_SPE_COD,83,EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,
DDP_SPE_COD,84,ACTION MEDICO-SOCIALE PRECOCE,
DDP_SPE_COD,85,PRESTATIONS MEDICO-PEDAGOGIQUES,
DDP_SPE_COD,86,AUTRES PRESTATIONS MEDICO-SOCIALES POUR L ENFANCE HANDICAPEE,
DDP_SPE_COD,91,"REINSERTION, REEDUCATION PROFESSIONNELLE ET PREORIENTATION",
DDP_SPE_COD,92,ACCUEIL SPECIALISE,
DDP_SPE_COD,93,AUTRES PRESTATIONS MEDICO-SOCIALES POUR ADULTES HANDICAPES,
DDP_SPE_COD,101,PRESTATIONS SANITAIRES AUX PERSONNES AGEES EN ETABLISSEMENT D HEBERGEMENT,
DDP_SPE_COD,102,AUTRES PRESTATIONS PERSONNES AGEES,
DDP_SPE_COD,110,PRESTATIONS MEDICO-SOCIALES,
DDP_SPE_COD,121,INDIFFERENCIEES,
DRG_AFF_NAT,0,SANS OBJET,
DRG_AFF_NAT,11,Assuré,
DRG_AFF_NAT,12,Adresse Provisoire,
DRG_AFF_NAT,13,Conjoint divorcé,
DRG_AFF_NAT,14,Conjoint séparé,
DRG_AFF_NAT,15,Procuration,
DRG_AFF_NAT,16,Tutelle,
DRG_AFF_NAT,17,Veuvage,
DRG_AFF_NAT,18,conjoint,
DRG_AFF_NAT,19,Enfant,
DRG_AFF_NAT,21,Autre ayant droit,
DRG_AFF_NAT,22,concubin,
DRG_AFF_NAT,23,"Ascendant, descendant",
DRG_AFF_NAT,24,Concubin en rupture,
DRG_AFF_NAT,25,Bénéficaire Pacsé,
DRG_AFF_NAT,26,Pacs fin,
DRG_AFF_NAT,27,A-D- RESIDENCE UE,
DRG_AFF_NAT,31,Correspondant d'entreprise,
DRG_AFF_NAT,32,Mutuelle,
DRG_AFF_NAT,33,Subrogation,
DRG_AFF_NAT,34,Titre Médecin,
DRG_AFF_NAT,35,Tiers Payant,
DRG_AFF_NAT,36,Tiers Payant Intégral (RO+OC),
DRG_AFF_NAT,37,Subrogation multiple,
DRG_AFF_NAT,38,TP RO + OC C2S ,
DRG_AFF_NAT,99,VALEUR INCONNUE,
ETE_CAT_SNDS,1101,CENTRES HOSPITALIERS REGIONAUX,
ETE_CAT_SNDS,1102,CENTRES HOSPITALIERS,
ETE_CAT_SNDS,1103,CENTRES HOSPITALIERS SPECIALISES EN PSYCHIATRIE,
ETE_CAT_SNDS,1103,CENTRES HOSPITALIERS SPECIALISES EN LUTTE MALADIES MENTALES,
ETE_CAT_SNDS,1104,AUTRES CENTRES HOSPITALIERS SPECIALISES,
ETE_CAT_SNDS,1104,CENTRES DE LUTTE CONTRE LE CANCER,
ETE_CAT_SNDS,1106,HOPITAUX LOCAUX,
ETE_CAT_SNDS,1107,"CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES",
ETE_CAT_SNDS,1107,ETABLISSEMENTS DE SANTE PRIVES AUTORISES EN SSR,
ETE_CAT_SNDS,1108,CENTRES DE MOYEN ET LONG SEJOUR,
ETE_CAT_SNDS,1109,CENTRES DE LONG SEJOUR,
ETE_CAT_SNDS,1109,ETABLISSEMENTS DE SOINS DE LONG DUREE,
ETE_CAT_SNDS,1110,AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE),
ETE_CAT_SNDS,1110,ETABLISSEMENTS DE SOINS DE COURTE DUREE,
ETE_CAT_SNDS,1111,AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES,
ETE_CAT_SNDS,1112,ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE,
ETE_CAT_SNDS,1113,ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES,
ETE_CAT_SNDS,1114,CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES,
ETE_CAT_SNDS,1201,TRAITEMENT ET SOINS A DOMICILE,
ETE_CAT_SNDS,1203,DIALYSE AMBULATOIRE,
ETE_CAT_SNDS,1204,URGENCE ET REANIMATION,
ETE_CAT_SNDS,1205,AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE,
ETE_CAT_SNDS,2100,CABINETS LIBERAUX (SCANNER ET IRMN),
ETE_CAT_SNDS,2103,AUTRES STRUCTURES D'EXERCICE LIBERAL,
ETE_CAT_SNDS,2201,Dispensaires ou Centres de Soins,
ETE_CAT_SNDS,2202,ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE,
ETE_CAT_SNDS,2205,ETABLISSEMENTS RELEVANT DU SERVICE DE SANTE DES ARMEES,
ETE_CAT_SNDS,2206,CENTRES DE SANTE,
ETE_CAT_SNDS,3401,TRANSFUSION SANGUINE,
ETE_CAT_SNDS,3402,CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS,
ETE_CAT_SNDS,3403,STRUCTURES ET FILIERES DE SOINS SOUBIE,
ETE_CAT_SNDS,3404,STRUCTURES ET FILIERES DE SOINS HORS SOUBIE,
ETE_CAT_SNDS,4101,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES,
ETE_CAT_SNDS,4102,ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT,
ETE_CAT_SNDS,4103,ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS,
ETE_CAT_SNDS,4104,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,
ETE_CAT_SNDS,4105,ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES,
ETE_CAT_SNDS,4106,SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES,
ETE_CAT_SNDS,4107,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE,
ETE_CAT_SNDS,4301,ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES,
ETE_CAT_SNDS,4302,ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES,
ETE_CAT_SNDS,4303,ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES,
ETE_CAT_SNDS,4304,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES,
ETE_CAT_SNDS,4305,SERVICES DE MAINTIEN A DOMICILE POUR HANDICAPES,
ETE_CAT_SNDS,4401,ETABLISSEMENT D HEBERGEMENT,
ETE_CAT_SNDS,4401,ETABLISSEMENTS D HEBERGEMENT POUR PERSONNES AGEES,
ETE_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE,
ETE_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE POUR PERSONNES AGEES,
ETE_CAT_SNDS,4404,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES,
ETE_CAT_SNDS,4501,ETABLISSEMENT DE L AIDE A L  ENFANCE,
ETE_CAT_SNDS,4501,ETABLISSEMENTS DE L AIDE SOCIALE  A L ENFANCE,
ETE_CAT_SNDS,4601,ETABLISSEMENTS POUR ADULTES EN DIFFICULTE,
ETE_CAT_SNDS,4603,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES,
ETE_CAT_SNDS,4604,AUTRES ETABLISSEMENTS D ACCUEIL,
ETE_CAT_SNDS,4605,ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE,
ETE_CAT_SNDS,4606,CENTRE DE RESSOURCES,
ETE_CAT_SNDS,9999,VALEUR INCONNUE,
ETE_IND_TAA,0,HORS TAA,
ETE_IND_TAA,1,TAA PUBLIQUE,
ETE_IND_TAA,2,TAA PRIVE,
ETE_IND_TAA,8,NON TRANSMIS,
ETE_IND_TAA,9,VALEUR INCONNUE,
ETE_REG_COD,5,Régions et Départements d'outre-mer ,
ETE_REG_COD,11,Ile-de-France,
ETE_REG_COD,24,Centre-Val de Loire,
ETE_REG_COD,27,Bourgogne-Franche-Comté,
ETE_REG_COD,28,Normandie,
ETE_REG_COD,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
ETE_REG_COD,44,Grand Est,
ETE_REG_COD,52,Pays de la Loire,
ETE_REG_COD,53,Bretagne,
ETE_REG_COD,75,Aquitaine-Limousin-Poitou-Charentes,
ETE_REG_COD,76,Languedoc-Roussillon-Midi-Pyrénées,
ETE_REG_COD,84,Auvergne-Rhône-Alpes,
ETE_REG_COD,93,Provence-Alpes-Côte d'Azur et Corse,
ETE_REG_COD,99,Inconnu,
ETE_TYP_SNDS,0,AMBULATOIRE SECTEUR LIBERAL,
ETE_TYP_SNDS,1,PUBLIC PROPREMENT DIT,
ETE_TYP_SNDS,2,PSPH PRIVE A BUT NON LUCRATIF PARTICIPANT AU SERVICE PUBLIC HOSPITALIER,
ETE_TYP_SNDS,3,EX PJP AYANT OPTE POUR LE BG,
ETE_TYP_SNDS,4,PRIVE LUCRATIF,
ETE_TYP_SNDS,6,PRIVE NON LUCRATIF,
ETE_TYP_SNDS,99,VALEUR INCONNUE,
ETE_ZEAT_COD,0,Inconnu,
ETE_ZEAT_COD,1,Région Parisienne (11),
ETE_ZEAT_COD,2,"Bassin Parisien (21,22,23,24,25,26)",
ETE_ZEAT_COD,3,Nord (31),
ETE_ZEAT_COD,4,"Est (41,42,43)",
ETE_ZEAT_COD,5,"Ouest (52,53,54)",
ETE_ZEAT_COD,6,"Sud-Ouest (72,73,74)",
ETE_ZEAT_COD,7,"Centre-Est (82,83)",
ETE_ZEAT_COD,8,"Méditerrannée (91,93,94)",
ETE_ZEAT_COD,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
ETP_CAT_SNDS,1101,CENTRES HOSPITALIERS REGIONAUX,
ETP_CAT_SNDS,1102,CENTRES HOSPITALIERS,
ETP_CAT_SNDS,1103,CENTRES HOSPITALIERS SPECIALISES EN PSYCHIATRIE,
ETP_CAT_SNDS,1103,CENTRES HOSPITALIERS SPECIALISES EN LUTTE MALADIES MENTALES,
ETP_CAT_SNDS,1104,AUTRES CENTRES HOSPITALIERS SPECIALISES,
ETP_CAT_SNDS,1104,CENTRES DE LUTTE CONTRE LE CANCER,
ETP_CAT_SNDS,1106,HOPITAUX LOCAUX,
ETP_CAT_SNDS,1107,"CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES",
ETP_CAT_SNDS,1107,ETABLISSEMENTS DE SANTE PRIVES AUTORISES EN SSR,
ETP_CAT_SNDS,1108,CENTRES DE MOYEN ET LONG SEJOUR,
ETP_CAT_SNDS,1109,CENTRES DE LONG SEJOUR,
ETP_CAT_SNDS,1109,ETABLISSEMENTS DE SOINS DE LONG DUREE,
ETP_CAT_SNDS,1110,AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE),
ETP_CAT_SNDS,1110,ETABLISSEMENTS DE SOINS DE COURTE DUREE,
ETP_CAT_SNDS,1111,AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES,
ETP_CAT_SNDS,1112,ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE,
ETP_CAT_SNDS,1113,ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES,
ETP_CAT_SNDS,1114,CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES,
ETP_CAT_SNDS,1201,TRAITEMENT ET SOINS A DOMICILE,
ETP_CAT_SNDS,1203,DIALYSE AMBULATOIRE,
ETP_CAT_SNDS,1204,URGENCE ET REANIMATION,
ETP_CAT_SNDS,1205,AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE,
ETP_CAT_SNDS,2100,CABINETS LIBERAUX (SCANNER ET IRMN),
ETP_CAT_SNDS,2103,AUTRES STRUCTURES D'EXERCICE LIBERAL,
ETP_CAT_SNDS,2201,Dispensaires ou Centres de Soins,
ETP_CAT_SNDS,2202,ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE,
ETP_CAT_SNDS,2205,ETABLISSEMENTS RELEVANT DU SERVICE DE SANTE DES ARMEES,
ETP_CAT_SNDS,2206,CENTRES DE SANTE,
ETP_CAT_SNDS,3401,TRANSFUSION SANGUINE,
ETP_CAT_SNDS,3402,CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS,
ETP_CAT_SNDS,3403,STRUCTURES ET FILIERES DE SOINS SOUBIE,
ETP_CAT_SNDS,3404,STRUCTURES ET FILIERES DE SOINS HORS SOUBIE,
ETP_CAT_SNDS,4101,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES,
ETP_CAT_SNDS,4102,ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT,
ETP_CAT_SNDS,4103,ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS,
ETP_CAT_SNDS,4104,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,
ETP_CAT_SNDS,4105,ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES,
ETP_CAT_SNDS,4106,SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES,
ETP_CAT_SNDS,4107,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE,
ETP_CAT_SNDS,4301,ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES,
ETP_CAT_SNDS,4302,ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES,
ETP_CAT_SNDS,4303,ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES,
ETP_CAT_SNDS,4304,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES,
ETP_CAT_SNDS,4305,SERVICES DE MAINTIEN A DOMICILE POUR HANDICAPES,
ETP_CAT_SNDS,4401,ETABLISSEMENTS D HEBERGEMENT POUR PERSONNES AGEES,
ETP_CAT_SNDS,4401,ETABLISSEMENT D HEBERGEMENT,
ETP_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE POUR PERSONNES AGEES,
ETP_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE,
ETP_CAT_SNDS,4404,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES,
ETP_CAT_SNDS,4501,ETABLISSEMENT DE L AIDE A L  ENFANCE,
ETP_CAT_SNDS,4501,ETABLISSEMENTS DE L AIDE SOCIALE  A L ENFANCE,
ETP_CAT_SNDS,4601,ETABLISSEMENTS POUR ADULTES EN DIFFICULTE,
ETP_CAT_SNDS,4603,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES,
ETP_CAT_SNDS,4604,AUTRES ETABLISSEMENTS D ACCUEIL,
ETP_CAT_SNDS,4605,ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE,
ETP_CAT_SNDS,4606,CENTRE DE RESSOURCES,
ETP_CAT_SNDS,9999,VALEUR INCONNUE,
ETP_REG_COD,5,Régions et Départements d'outre-mer ,
ETP_REG_COD,11,Ile-de-France,
ETP_REG_COD,24,Centre-Val de Loire,
ETP_REG_COD,27,Bourgogne-Franche-Comté,
ETP_REG_COD,28,Normandie,
ETP_REG_COD,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
ETP_REG_COD,44,Grand Est,
ETP_REG_COD,52,Pays de la Loire,
ETP_REG_COD,53,Bretagne,
ETP_REG_COD,75,Aquitaine-Limousin-Poitou-Charentes,
ETP_REG_COD,76,Languedoc-Roussillon-Midi-Pyrénées,
ETP_REG_COD,84,Auvergne-Rhône-Alpes,
ETP_REG_COD,93,Provence-Alpes-Côte d'Azur et Corse,
ETP_REG_COD,99,Inconnu,
ETP_ZEAT_COD,0,Inconnu,
ETP_ZEAT_COD,1,Région Parisienne (11),
ETP_ZEAT_COD,2,"Bassin Parisien (21,22,23,24,25,26)",
ETP_ZEAT_COD,3,Nord (31),
ETP_ZEAT_COD,4,"Est (41,42,43)",
ETP_ZEAT_COD,5,"Ouest (52,53,54)",
ETP_ZEAT_COD,6,"Sud-Ouest (72,73,74)",
ETP_ZEAT_COD,7,"Centre-Est (82,83)",
ETP_ZEAT_COD,8,"Méditerrannée (91,93,94)",
ETP_ZEAT_COD,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
EXE_INS_REG,5,Régions et Départements d'outre-mer ,
EXE_INS_REG,11,Ile-de-France,
EXE_INS_REG,24,Centre-Val de Loire,
EXE_INS_REG,27,Bourgogne-Franche-Comté,
EXE_INS_REG,28,Normandie,
EXE_INS_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
EXE_INS_REG,44,Grand Est,
EXE_INS_REG,52,Pays de la Loire,
EXE_INS_REG,53,Bretagne,
EXE_INS_REG,75,Aquitaine-Limousin-Poitou-Charentes,
EXE_INS_REG,76,Languedoc-Roussillon-Midi-Pyrénées,
EXE_INS_REG,84,Auvergne-Rhône-Alpes,
EXE_INS_REG,93,Provence-Alpes-Côte d'Azur et Corse,
EXE_INS_REG,99,Inconnu,
EXE_INS_ZEAT,0,Inconnu,
EXE_INS_ZEAT,1,Région Parisienne (11),
EXE_INS_ZEAT,2,"Bassin Parisien (21,22,23,24,25,26)",
EXE_INS_ZEAT,3,Nord (31),
EXE_INS_ZEAT,4,"Est (41,42,43)",
EXE_INS_ZEAT,5,"Ouest (52,53,54)",
EXE_INS_ZEAT,6,"Sud-Ouest (72,73,74)",
EXE_INS_ZEAT,7,"Centre-Est (82,83)",
EXE_INS_ZEAT,8,"Méditerrannée (91,93,94)",
EXE_INS_ZEAT,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
EXO_MTF,0,SANS OBJET,
EXO_MTF,10,ASSURANCE,
EXO_MTF,20,REGIMES,
EXO_MTF,21,PENSION MILITAIRE D'INVALIDITE (ART. 115),
EXO_MTF,30,NATURE DE PRESTATION,
EXO_MTF,41,BENEFICIAIRE ATTEINT D UNE MALADIE LISTE - AFFECTION SANS RAPPORT,
EXO_MTF,42,BENEFICIAIRE ATTEINT D UNE MALADIE LISTE - AFFECTION EN  RAPPORT,
EXO_MTF,43,PATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT,
EXO_MTF,44,PATHOLOGIE HORS LISTE - AFFECTION EN RAPPORT,
EXO_MTF,45,POLYPATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT,
EXO_MTF,46,POLYPATHOLOGIE HORS LISTE - AFFECTION EN RAPPORT,
EXO_MTF,47,ARTICLE L324 NON EXONERANT (SAUF TRANSPORTS),
EXO_MTF,51,COEFFICIENT ET ACTE EN RAPPORT,
EXO_MTF,54,DIAGNOSTIC ET TRAITEMENT DE LA STERILITE,
EXO_MTF,55,6EME MOIS DE GROSSESSE,
EXO_MTF,56,EDUCATION SPECIALISEE SANS RAPPORT,
EXO_MTF,57,EDUCATION SPECIALISEE EN RAPPORT,
EXO_MTF,62,AUTRE CAS D EXONERATION,
EXO_MTF,63,HOSPIT PLUS 30 JOURS,
EXO_MTF,81,PREVENTION,
EXO_MTF,82,PREVENTION SOINS DE SUITE BUCCO-DENTAIRE,
EXO_MTF,91,ACTES CCAM/NGAP EXONERANTS,
EXO_MTF,92,SOINS EN RAPPORT AVEC UN ACTE CCAM EXONERANT,
EXO_MTF,99,VALEUR INCONNUE,
MDT_TYP_COD,1,SEJOURNE,
MDT_TYP_COD,2,EXTERNE,
MDT_TYP_COD,3,DOMICILE,
MDT_TYP_COD,9,SANS OBJET,
MFT_COD,1,"tarification libre, spéciale ou sans tarification",
MFT_COD,2,PJ/DOTATION GLOBALE FIXES PAR AUTORITE MINISTERIELLE,
MFT_COD,3,PJ/DOTATION GLOBALE FIXES PAR ARH . POUR ETABLISSEMENTS PUBLICS,
MFT_COD,4,PJ/DOTATION GLOBALE FIXES PAR ARH . POUR ETAB.PRIV.P.S.P.H,
MFT_COD,5,"PJ/FORFAITS FIXES PAR PREFECTURE POUR ETABS. PUB. , PRIV.ET MEDI-SOC",
MFT_COD,6,TARIF D AUTORITE FIXE PAR ARRETE INTERMINISTERIEL,
MFT_COD,7,TARIFS PAR CONTRAT AVEC ARH POUR ETABLISSEMENT PRIVES,
MFT_COD,8,"POUR ORDRE, NE CONCERNE PAS LA BRANCHE MALADIE",
MFT_COD,9,TARIF/FORFAIT FIXES PAR CONSEIL GENERAL ET AUTORITE PREFECTORALE,
MFT_COD,10,PJ/DOTATION FIXES CONJOINTEMENT PAR PREFET ET PDT CONSEIL GAL.,
MFT_COD,11,FORFAIT SOINS POUR PERS.AGEES TARIF.LIBRE ET CRAM,
MFT_COD,14,ORGANISMES NATIONAUX DE SECURITE SOCIALE ET ETS THERMAUX,
MFT_COD,15,PJ/DOTATION  POUR ETS. PRIVES HORS PSPH  FIXES PAR ARH,
