dimension,cle,libelle,detail,nb_val_jan24
ETP_CAT_SNDS,4301,ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES,,67065
ETP_CAT_SNDS,4302,ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES,,6788
ETP_CAT_SNDS,4303,ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES,,3894
ETP_CAT_SNDS,4304,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES,,448
ETP_CAT_SNDS,4401,ETABLISSEMENT D HEBERGEMENT,,237937
ETP_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE,,12693
ETP_CAT_SNDS,4404,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES,,879
ETP_CAT_SNDS,4501,ETABLISSEMENT DE L AIDE A L  ENFANCE,,2381
ETP_CAT_SNDS,4601,ETABLISSEMENTS POUR ADULTES EN DIFFICULTE,,262
ETP_CAT_SNDS,4603,ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES,,109
ETP_CAT_SNDS,4604,AUTRES ETABLISSEMENTS D ACCUEIL,,18071
ETP_CAT_SNDS,4605,ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE,,817
ETP_CAT_SNDS,9999,VALEUR INCONNUE,,21498833
ETP_REG_COD,5,Régions et Départements d'outre-mer,,507447
ETP_REG_COD,11,Ile-de-France,,3505078
ETP_REG_COD,24,Centre-Val de Loire,,720307
ETP_REG_COD,44,Grand Est,,1658387
ETP_REG_COD,52,Pays de la Loire,,1031469
ETP_REG_COD,75,Aquitaine-Limousin-Poitou-Charentes,,1411598
ETP_REG_COD,93,Provence-Alpes-Côte d'Azur et Corse,,1577133
ETP_REG_COD,99,Inconnu,,20834165
EXE_INS_REG,5,Régions et Départements d'outre-mer,,1198566
EXE_INS_REG,11,Ile-de-France,,4084533
EXE_INS_REG,27,Bourgogne-Franche-Comté,,1691748
EXE_INS_REG,28,Normandie,,1811929
EXE_INS_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,,2523189
EXE_INS_REG,44,Grand Est,,2979258
EXE_INS_REG,52,Pays de la Loire,,1899504
EXE_INS_REG,53,Bretagne,,1724615
EXE_INS_REG,75,Aquitaine-Limousin-Poitou-Charentes,,2762187
EXE_INS_REG,76,Languedoc-Roussillon-Midi-Pyrénées,,3182453
EXE_INS_REG,84,Auvergne-Rhône-Alpes,,3188861
EXE_INS_REG,93,Provence-Alpes-Côte d'Azur et Corse,,3151703
EXE_INS_REG,99,Inconnu,,6929644
EXO_MTF,0,SANS OBJET,,7236181
EXO_MTF,10,ASSURANCE,,690745
EXO_MTF,20,REGIMES,,1311453
EXO_MTF,21,PENSION MILITAIRE D'INVALIDITE (ART. 115),,108805
EXO_MTF,43,PATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT,,477683
EXO_MTF,45,POLYPATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT,,67351
EXO_MTF,46,POLYPATHOLOGIE HORS LISTE - AFFECTION EN RAPPORT,,97357
EXO_MTF,47,ARTICLE L324 NON EXONERANT (SAUF TRANSPORTS),,20
EXO_MTF,51,COEFFICIENT ET ACTE EN RAPPORT,,18711
EXO_MTF,54,DIAGNOSTIC ET TRAITEMENT DE LA STERILITE,,12425
EXO_MTF,55,6EME MOIS DE GROSSESSE,,7286
EXO_MTF,62,AUTRE CAS D EXONERATION,,2621517
EXO_MTF,63,HOSPIT PLUS 30 JOURS,,24077
EXO_MTF,81,PREVENTION,,89874
EXO_MTF,82,PREVENTION SOINS DE SUITE BUCCO-DENTAIRE,,16064
EXO_MTF,99,VALEUR INCONNUE,,15826621
MDT_TYP_COD,2,EXTERNE,,1097052
MDT_TYP_COD,3,DOMICILE,,5077
MDT_TYP_COD,9,SANS OBJET,,37256352
MFT_COD,1,"tarification libre, spéciale ou sans tarification",,35020
MFT_COD,2,PJ/DOTATION GLOBALE FIXES PAR AUTORITE MINISTERIELLE,,354529
MFT_COD,3,PJ/DOTATION GLOBALE FIXES PAR ARH . POUR ETABLISSEMENTS PUBLICS,,3298561
MFT_COD,4,PJ/DOTATION GLOBALE FIXES PAR ARH . POUR ETAB.PRIV.P.S.P.H,,509258
MFT_COD,5,"PJ/FORFAITS FIXES PAR PREFECTURE POUR ETABS. PUB. , PRIV.ET MEDI-SOC",,15851
MFT_COD,7,TARIFS PAR CONTRAT AVEC ARH POUR ETABLISSEMENT PRIVES,,1737776
MFT_COD,8,"POUR ORDRE, NE CONCERNE PAS LA BRANCHE MALADIE",,544
MFT_COD,10,PJ/DOTATION FIXES CONJOINTEMENT PAR PREFET ET PDT CONSEIL GAL.,,40
MFT_COD,11,FORFAIT SOINS POUR PERS.AGEES TARIF.LIBRE ET CRAM,,1
MFT_COD,14,ORGANISMES NATIONAUX DE SECURITE SOCIALE ET ETS THERMAUX,,13217
MFT_COD,15,PJ/DOTATION  POUR ETS. PRIVES HORS PSPH  FIXES PAR ARH,,48905
MFT_COD,17,ETS SOINS LONG. DUREE PUB.PRIV. AUTORITE MIXTE ARH/PDT C.G,,20
MFT_COD,20,E .H .P .A. D  HABILITES AIDE SOCIALE  Option globale,,1
MFT_COD,22,UNITE DE SOINS DE LONGUE DUREE HABILITES AIDE SOCIALE Option globale,,24
MFT_COD,36,Tarifs conventionnel Assurance Maladie,,1282171
MFT_COD,42,ARS NHAS PUI,,1
MFT_COD,43,ARS TG NHAS NPUI,,1
MFT_COD,44,ARS TP HAS PUI,,15
MFT_COD,45,ARS TP HAS NPUI,,1150
MFT_COD,99,VALEUR INCONNUE,,31459643
MTM_NAT,0,SANS OBJET,,21452213
MTM_NAT,1,BENEFICIAIRES DE L'ALLOCATION DE SOLIDARITE AUX PERSONNES AGEES OU DE L'ALLOCATION SUPPLEMENTAIRE D'INVALIDITE,,495220
MTM_NAT,2,REGIME LOCAL ALSACE MOSELLE,,913051
MTM_NAT,4,REGIME LOCAL ET FONDS NATIONAL DE SOLIDARITE,,2287
ORG_CLE_REG,5,Régions et Départements d'outre-mer,,1266523
ORG_CLE_REG,11,Ile-de-France,,5687698
ORG_CLE_REG,24,Centre-Val de Loire,,1812648
ORG_CLE_REG,28,Normandie,,1977909
ORG_CLE_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,,2761696
ORG_CLE_REG,44,Grand Est,,3186988
ORG_CLE_REG,52,Pays de la Loire,,2018801
ORG_CLE_REG,53,Bretagne,,1732399
ORG_CLE_REG,75,Aquitaine-Limousin-Poitou-Charentes,,2773121
ORG_CLE_REG,76,Languedoc-Roussillon-Midi-Pyrénées,,3171570
ORG_CLE_REG,84,Auvergne-Rhône-Alpes,,3116703
ORG_CLE_REG,99,Inconnu,,4383423
PRE_INS_REG,5,Régions et Départements d'outre-mer,,725736
PRE_INS_REG,11,Ile-de-France,,2530512
PRE_INS_REG,24,Centre-Val de Loire,,896049
PRE_INS_REG,27,Bourgogne-Franche-Comté,,969827
PRE_INS_REG,28,Normandie,,990506
PRE_INS_REG,52,Pays de la Loire,,1106840
PRE_INS_REG,75,Aquitaine-Limousin-Poitou-Charentes,,1662668
PRE_INS_REG,93,Provence-Alpes-Côte d'Azur et Corse,,1891712
PRE_INS_REG,99,Inconnu,,20039025
PRS_FJH_TYP,1,REGIME LOCAL  ALSACE-MOSELLE,,12957
PRS_FJH_TYP,2,ASSURE,,87842
PRS_FJH_TYP,3,ORGANISME COMPLEMENTAIRE,,70946
PRS_NAT,1046,TELECONSULTATION SPECIALISTE,TCS,44363
PRS_NAT,1047,CONSULTATION PSYCHIATRE RAPIDE SUITE ORIENTATION SAS OU MTT,MCY,433
PRS_NAT,1048,CONSULTATION INIT MT ALD,IMT,11183
PRS_NAT,1049,SUPPL. PEDIATRIQUE URGENCE 2,PE2,952
PRS_NAT,1050,FORFAIT CONSULTATION URGENCE 0,FU0,158
PRS_NAT,1051,SUPPL. PEDIATRIQUE URGENCE 1,PE1,385
PRS_NAT,1054,BILAN MRTC,BTC,73
PRS_NAT,1055,SUIVI MRTC,STC,64
PRS_NAT,1056,TELECONSULTATION GENERALISTE IVG,JC,77
PRS_NAT,1057,TELECONSULTATION SPECIALISTE IVG,JCS,2
PRS_NAT,1058,EXAMEN OBLIGATOIRE ENFANT COJ,COJ,104
PRS_NAT,1060,MAJORATION GYNECO MEDICALE,MGM,8837
PRS_NAT,1061,MAJORATION PSY ENFANT,MP,2285
PRS_NAT,1062,CDE CONGE PARENTAL,RDC,38
PRS_NAT,1066,FORFAIT REGULATEUR SAS,PDR,96
PRS_NAT,1067,SUPPLEMENT URGENCE CCMU 3,SU3,12181
PRS_NAT,1068,SUPP. AVIS DE SPECIALISTE,SAS,2976
PRS_NAT,1069,SUPP. IMAGERIE EN COUPE,SIC,6028
PRS_NAT,1070,BIO MEDICALE CLASSE AGE 2,SB2,5262
PRS_NAT,1072,SUPP. NUIT MEDECIN URGENTISTE,SUN,9536
PRS_NAT,1073,SUPP DIMANCHE/FERIE -URGENTISTE,SUF,13441
PRS_NAT,1074,SUPP NUIT SPE/BIO/IMAGERIE,SSN,6064
PRS_NAT,1075,SUP DIMANCHE/FERIE SPE/BIO/IMAGE,SSF,4863
PRS_NAT,1076,CODE TRACEUR SAS,SNP,12674
PRS_NAT,1077,SUPPLEMENT URGENCE CCMU 2,SU2,5648
PRS_NAT,1078,SUPPLEMENT URGENCE BIOLOGIE,SUB,725
PRS_NAT,1079,SUPPLEMENT URGENCE IMAGERIE,SIM,15044
PRS_NAT,1080,SUPPLEMENT URGENCE MODE ARRIVEE,SUM,6795
PRS_NAT,1081,FORFAIT CONSULTATION URGENCE 1,FU1,3655
PRS_NAT,1082,FORFAIT CONSULTATION URGENCE 2,FU2,13467
PRS_NAT,1083,FORFAIT CONSULTATION URGENCE 3,FU3,11536
PRS_NAT,1085,CONSULTATION PROTOCOLE COOPERATIF,GCO,102
PRS_NAT,1086,TELESOINS SF,TFS,190
PRS_NAT,1090,EXAMEN OBLIGATOIRE ENFANT COH,COH,4300
PRS_NAT,1091,EXAMEN OBLIGATOIRE ENFANT COD,COD,10820
PRS_NAT,1092,EXAMEN OBLIGATOIRE ENFANT COG,COG,360
PRS_NAT,1093,EXAMEN OBLIGATOIRE ENFANT COB,COB,2188
PRS_NAT,1094,EXAMEN OBLIGATOIRE ENFANT COA,COA,49
PRS_NAT,1098,CONSULTATION CCMU 3,U03,17526
PRS_NAT,1099,CONSULTATION CCMU 4 ET 5,U45,6000
PRS_NAT,1100,PROTOCOLE MURAINE - BILAN VISUEL,RNM,6123
PRS_NAT,1101,AVIS PONCTUEL DE CONSULTANT PUPH,APU,56908
PRS_NAT,1102,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE,APY,33488
PRS_NAT,1103,AVIS PONCTUEL DE CONSULTANT,APC,578113
PRS_NAT,1104,CONSULTATION OBLIGATOIRE ENFANT,COE,9807
PRS_NAT,1105,CONSULTATION COMPLEXE,CCX,5544
PRS_NAT,1106,MAJORATION CONSULTATION COMPLEXE,MCX,7562
PRS_NAT,1107,CONSULTATION TRES COMPLEXE ENFANT,CCE,23217
PRS_NAT,1108,MAJORATION CONSULTATION TRES COMPLEXE,MTX,14591
PRS_NAT,1109,CONSULTATION SPECIALISTE MEDECINE GENERALE,GS,301452
PRS_NAT,1110,CONSULTATION MEDECINE GENERALE,G,640585
PRS_NAT,1112,CONSULTATION COTEE CS,CS,852947
PRS_NAT,1113,CONSULTATION COTEE CNP,CNP,125732
PRS_NAT,1114,CONSULTATION SPECIFIQUE CARDIOLOGIE,CSC,28570
PRS_NAT,1116,MAJORATION FORFAITAIRE TRANSITOIRE,MPC,802673
PRS_NAT,1118,"CONSULTATION DES PSYCHIATRES COTEE C2,5",,30
PRS_NAT,1119,MAJORATION TRANSITOIRE SPECIFIQUE,MTS,92
PRS_NAT,1121,HONORAIRE DE SURVEILLANCE,HS,24749
PRS_NAT,1122,EXAMEN SPECIAL (PROTOCOLE),EXS,323
PRS_NAT,1123,SUITE D  EXAMEN DE SANTE,SES,6
PRS_NAT,1125,MAJORATION DE COORDINATION DES GENERALISTES,MCG,86142
PRS_NAT,1126,MAJORATION DE COORDINATION SPECIALISTES,MCS,711697
PRS_NAT,1127,MAJORATION DE COORDINATION CARDIOLOGUES,MCC,22551
PRS_NAT,1131,MAJORATION CONSULTATION APPAREILLAGE,MTA,342
PRS_NAT,1132,MAJORATION CONSULTATION ENDOCRINO,MCE,6747
PRS_NAT,1134,MAJORATION PREMIERE CONSULTATION FAMILLE,MPF,2163
PRS_NAT,1135,MAJORATION CONSULTATION ANNUELLE FAMILLE,MAF,120
PRS_NAT,1142,REMUNERATION ADHESION SOPHIA (SOINS DE VILLE),RSO,42
PRS_NAT,1145,REMUNERATION OBJECTIF MEDECIN ET CENTRES DE SANTE,P4P,8
PRS_NAT,1146,REMUNERATION OBJECTIF MEDECIN COMPLEMENT ET CENTRES DE SANTE,R4P,7
PRS_NAT,1148,REMUNERATION FORFAITAIRE PAR CONSULTATION POUR LE SUIVI DES PERSONNES AGEES,MPA,16281
PRS_NAT,1149,CONTESTATION REMUNERATION SUIVI PERSONNES AGEES,CPA,22
PRS_NAT,1150,REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE,RPT,18
PRS_NAT,1153,MAJORATION CONSULTATION POUR INSUFFISANT CARDIAQUE APRES HOSPITALISATION,MIC,1826
PRS_NAT,1154,MAJORATION CONSULTATION SUIVI APRES HOSPITALISATION PATIENTS A FORTE COMORBIDITE,MSH,10134
PRS_NAT,1161,COMPENSATION DE LA PERTE D'ACTIVITE DES PS,CPS,6
